Thing,tabooness,popularity,genderratio,std,male,female
burning,72.17,5.847653387,3.138678586,21.09,2.82585529,8.869451484
slave/master (as slave),44.42,24.16165079,3.251606874,25.86,11.3658913,36.95741028
scarification,74.71,4.071602359,3.328145117,21.05,1.881453717,6.261751001
medical horror,82.80,0.9584476748,3.383569172,18.10,0.4372910006,1.479604349
blood,72.36,8.668178493,3.514586437,21.55,3.840076434,13.49628055
extreme bondage (receiving),53.97,30.30090701,3.635067917,26.21,13.07463345,47.52718058
light bondage (receiving),19.89,37.85483646,3.664449467,18.86,16.23121302,59.4784599
medium bondage (receiving),38.99,37.78925259,3.665875366,22.14,16.19814059,59.38036459
violating consent (receiving),57.76,26.97854324,4.638764187,25.16,9.568956014,44.38813047
guns,62.90,4.779834073,4.692499983,24.73,1.679344431,7.880323715
rapeplay (receiving),57.80,19.53565829,5.283970083,26.11,6.21761658,32.8537
sex with your dead body,87.85,1.289409572,9.025343626,16.21,0.2572300004,2.321589144
